brand_name,item_name,brand_id,item_id,item_type,item_description,nf_ingredient_statement
1st Endurance,"Sports Drink, Energizing, Orange Splash",51db37cd176fe9790a899af8,51c357bb97c3e69de4afef08,2,"Energizing, Orange Splash","AjiPure Amino Acid Blend: L-Glutamine, Leucine, Iso-Leucine, Valine. Other Ingredients: Complex Carbohydrates, Sucrose, Dextrose, AjiPure Amino Acid Blend (L-Glutamine, Leucine, Iso-Leucine, Valine), Electrolyte Blend (Chloride, Sodium, Potassium, Magnesium, Calcium), Citric Acid, Natural Flavors, Ascorbic Acid."
Reed's,"Ginger Beer, Jamaican Style",51db37e8176fe9790a89a730,51c357ef97c3e69de4aff110,2,Jamaican Style,"SPARKLING FILTERED WATER, CANE SUGAR, PINEAPPLE JUICE FROM CONCENTRATE, HONEY, GINGER ROOT, LEMON AND LIME JUICES FROM CONCENTRATE, SPICES"
Slimfast,"Protein Shake Mix, Original",54c340d4c7d702fe1c98deb7,51c3581097c3e69de4aff1c3,2,Chocolate Royale,"SUGAR, COCOA (PROCESSED WITH ALKALI), HIGH OLEIC SUNFLOWER OIL, MALTODEXTRIN, GUM ARABIC, CELLULOSE GEL, BUTTERMILK POWDER, MILK PROTEIN CONCENTRATE, SOY FIBER, XANTHAN GUM, SOY LECITHIN, SODIUM PHOSPHATE, SALT, ARTIFICIAL FLAVOR, CARRAGEENAN, DEXTROSE, POTASSIUM PHOSPHATE, GUAR GUM, ACESULFAME POTASSIUM, ASPARTAME. VITAMINS AND MINERALS: CALCIUM CARBONATE, MAGNESIUM OXIDE, CALCIUM PHOSPHATE, SODIUM ASCORBATE, VITAMIN E ACETATE, FERRIC ORTHOPHOSPHATE, NIACINAMIDE, ZINC OXIDE, CALCIUM PANTOTHENATE, MANGANESE SULFATE, PYRIDOXINE HYDROCHLORIDE, THIAMIN MONONITRATE, VITAMIN A PALMITATE, CHROMIUM CHLORIDE, RIBOFLAVIN, BIOTIN, COPPER GLUCONATE, FOLIC ACID, SODIUM MOLYBDATE, SODIUM SELENITE, PHYTONADIONE (VITAMIN K1), POTASSIUM IODIDE, CHOLECALCIFEROL (VITAMIN D3), AND CYANOCOBALAMIN (VITAMIN B12)."
Butternut Mountain Farm,"Maple Syrup, Pure Vermont",51db37e8176fe9790a89a72f,51c3584f97c3e69de4aff2a8,2,Pure Vermont,Pure Maple Syrup.
Mt Olive,"Pickles, Sweet Relish",51db37e9176fe9790a89a7a5,51c3586297c3e69de4aff307,2,null,"Cucumbers, Corn Syrup, High Fructose Corn Syrup, Vinegar, Salt, Water, Dehydrated Red Bell Pepper, Sodium Benzoate (Preservative), Alum, Xanthan Gum, Calcium Chloride (Firming Agent), Natural Flavors, Polysorbate 80, and Yellow 5."
Mt Olive,"Jalapeno Peppers, Diced",51db37e9176fe9790a89a7a5,51c3586297c3e69de4aff308,2,null,"Jalapeno Peppers, Water, Vinegar, Salt, Dehydrated Onions, Dehydrated Garlic, Calcium Chloride (Firming Agent), Sodium Benzoate (Preservative), and Yellow 5."
Mt Olive,"Relish, Dill",51db37e9176fe9790a89a7a5,51c3586297c3e69de4aff30a,2,null,"Cucumbers, Water, Vinegar, Salt, Dehydrated Red Bell Pepper, Calcium Chloride (Firming Agent), Alum, Xanthan Gum, Sodium Benzoate (Preservative), Natural Flavors, Polysorbate 80, and Yellow 5."
Mt Olive,Dill Relish,51db37e9176fe9790a89a7a5,51c3586397c3e69de4aff30d,2,null,"Cucumbers, Water, Vinegar, Salt, Dehydrated Red Bell Pepper, Calcium Chloride (Firming Agent), Alum, Xanthan Gum, Sodium Benzoate (Preservative), Natural Flavors, Polysorbate 80 and Yellow 5."
Mt Olive,"Pickles, Hamburger Dill Chips",51db37e9176fe9790a89a7a5,51c3586497c3e69de4aff311,2,null,"Cucumber, Water, Vinegar, Salt, Calcium Chloride (Firming Agent), Sodium Benzoate (Preservative), Alum, Natural Flavors, Polysorbate 80, and Yellow 5."
Mt Olive,"Pickles, Sweet Gherkins",51db37e9176fe9790a89a7a5,51c3586597c3e69de4aff313,2,null,"Cucumbers, High Fructose Corn Syrup, Water, Vinegar, Salt, Calcium Chloride (Firming Agent), Alum, Sodium Benzoate (Preservative), Natural Flavors, Polysorbate 80, and Yellow 5."
